Ühend;Lause_ID;Leitud ühendikandidaat;Komponendi seos;Komponendi kääne;Passiiv;Reegel;Lause tekst;Noomeni token;Verbi token
kõne:obj pidama;arborest_99;pidas kõne;obj;Gen;ei;obj;Selle asemel pidas Teliat ülistava kõne oma Rootsi-meelsuses tuntud riigitöötaja Eesti Telekomi peadirektor Toomas Sõmera.;6;3
suits:Par tegema;ilu_indrikson_164;tegi suitsu;obj;Par;ei;obj;Indrikson seisis avatud rõduuksel, tegi suitsu ja vaatas lahele.;7;6
asi:Par ajama;ilu_indrikson_199;asi aetud;obj;Nom;jah;obj;Kella kaheks peab asi aetud olema!;4;5
katse:Par tegema;ilu_indrikson_249;teen katse;obj;Gen;ei;obj;"""Ma tean, et korraldan sulle hirmsa käki, aga ma teen siiski ühe abitu katse.";17;13
huvi:Par tundma;ilu_kanep_1046;tundis huvi;obj;Par;ei;obj;"""Blokid või?"" tundis tütarlaps huvi.";8;6
signaal:Par andma;ilu_kanep_1136;andsid signaali;obj;Gen;ei;obj;Siis andsid organid signaali.;4;2
peatus:Gen tegema;ilu_kanep_399;teeme peatuse;obj;Gen;ei;obj;Esimeses bensiinijaamas teeme peatuse.;4;3
mure:Par tundma;ilu_kanep_653;Tunnen muret;obj;Par;ei;obj;Tunnen muret.;2;1
plaan:obj tegema;ilu_kanep_8;plaane tegema;obj;Par;ei;obj;Nõnda ei hakka ma erilisi plaane tegema.;6;7
asi:Par ajama;ilu_kanep_917;Asja aeti;obj;Par;jah;obj;Asja aeti ja asjaosalised rõõmustasid, kuid mõne nädala pärast ilmnes, et seisame teeristil.;1;2
töö:Par tegema;ilu_kivirahk_120;teevad töö;obj;Gen;ei;obj;"Aga eks aastad teevad oma töö.""";6;4
jutt:Par ajama;ilu_kivirahk_213;juttu ajad;obj;Par;ei;obj;"""Taadike, no mis juttu sa ajad!"" laiutas Petrov käsi ja tegi solvunud nägu.";6;8
musu:Par andma;ilu_kivirahk_272;andis musu;obj;Gen;ei;obj;"""Taadike, ma ju katsun sind poputada, nagu oskan!"" ütles Petrov, andis Ernesaksa pealaele musu - ehkki laulutaat ägedalt kõrvale tõmbuda üritas - korjas taldrikud kokku ning viis kööki, kust peagi kostis veega lobistamist ja Petrovi laulu:";20;17
võimalus:obj andma;ilu_kivirahk_394;andis võimaluse;obj;Gen;ei;obj;Aeg-ajalt juhtus siiski midagi, mis pakkus väheke lusti ja andis võimaluse oma kangeks jäätunud lihaseid taas vetruvaiks võimelda.;12;11
abi:Par osutama;ilu_kivirahk_407;abi osutama;obj;Par;ei;obj;"""Ehkki ta kaotas, oli ta vapper rüütel ja kui ta veel elus peaks olema, peame talle jõudumööda abi osutama.""";21;22
vanne:obj andma;ilu_kivirahk_537;andnud vande;obj;Gen;ei;obj;Oleme andnud vande ja peame selle täitma.;3;2
asi:Par ajama;ilu_kivirahk_61;asjad ajada;obj;Nom;ei;obj;"Hommikul ei võta ta nagunii kedagi vastu, siis on tal teised asjad ajada.""";13;14
hääl:Par tegema;ilu_kivirahk_633;häält tegemata;obj;Par;ei;obj;Ja siis korraga muutus sir Parcival kõvaks kui kivi, langes häält tegemata pikali ja jäi liikumatult lebama, otsekui oleks teda tabanud välk.;12;13
tunnistus:Par andma;ilu_kivirahk_7;andis tunnistust;obj;Par;ei;obj;Üksnes näriv pakane andis tunnistust sellest, et ei viibita hoopiski mitte muuseumisaalis.;5;4
jutt:Par ajama;ilu_kivirahk_708;ajas juttu;obj;Par;ei;obj;Kondenspiima purk helendas ja pidi olema Püha Graal, ning üllatusmuna seest välja pudenenud kann nimetas end Merliniks ja ajas suurelist juttu.;22;20
hirm:Par tundma;ilu_kivirahk_710;tundnud hirmu;conj;Par;ei;conj->obj;Imelikul kombel ei tundnud Ott mingit ärevust või hirmu, isegi mitte selle ees, et ta hakkab järsku hulluks minema.;9;4
nõu:Par andma;ilu_maailm_138;andnud nõu;obj;Par;ei;obj;Oli aimus, et midagi peaks tegema, aga teha ei osanud ja keegi ei andnud nõu.;17;16
oletus:Par tegema;ilu_maailm_241;tegid oletusi;obj;Par;ei;obj;Võib-olla tegid nad oletusi, kuid keegi ei küsinud midagi.;4;2
suits:Par tegema;ilu_maailm_248;suitsu tegin;obj;Par;ei;obj;""" Sa vist ei oska seda eriti hästi, "" arvas Konspiraator, kellega koos rõdul suitsu tegin, "" sisse tuleb tõmmata, vaat' niimoodi.";17;18
minek:Par tegema;ilu_maailm_344;Tegin minekut;obj;Par;ei;obj;Tegin 644-st kiiresti minekut.;4;1
nali:Par tegema;ilu_maailm_357;teha nalja;obj;Par;ei;obj;Mul oli tunne, et minu kulul plaanitakse teha halba nalja.;11;9
huvi:Par tundma;ilu_maailm_422;tundis huvi;obj;Par;ei;obj;"""Mis ta sulle ütles?"" tundis Vladimir huvi.";10;8
nõu:Par andma;ilu_maailm_502;annan nõu;obj;Par;ei;obj;""" Aitäh, "" naeratas Konspiraator oma hambutut naeratust, "" vastutasuks annan head nõu.";15;13
minek:Par tegema;ilu_maailm_550;tegi minekut;obj;Par;ei;obj;Kala käis vahepeal korra toas, aga noori nähes tegi minekut.;11;10
korraldus:obj andma;ilu_maailm_575;Andsin korraldusi;obj;Par;ei;obj;Andsin endale vaikimisi korraldusi: esimene liigutus - kittel selga, teine - kella vaadata, kolmas - spiraal teekannu.;4;1
lubadus:obj andma;ilu_maailm_672;andis lubadusi;obj;Par;ei;obj;Madis andis lubadusi.;3;2
külm:Par tundma;ilu_orlau_141;tundes külma;obj;Par;ei;obj;Ärkasin, tundes seljas kontideni lõikavat külma.;7;3
külm:Par tundma;ilu_orlau_185;tundsin külma;obj;Par;ei;obj;Ometi tundsin toda halvavat külma otse enda taga ... ei sammugi maha jäämas.;5;2
jutt:Par ajama;ilu_orlau_38;juttu ajada;obj;Par;ei;obj;Kui mu silmad aegamisi hämarusega harjusid, nägin, et olen sattunud otse peo keskele: ümberringi oli palju inimesi, osad tantsisid, osad püüdsid läbi valju muusika hääli kähedaks röökides juttu ajada, osad jõid niisama omaette röötsakil, olles leppinud sellega, et keegi nagunii kedagi ei kuule.;33;34
hääl:Par tegema;ilu_orlau_62;häältki teha;obj;Par;ei;obj;Tahtsin karjuda, et teda hirmutada, tahtsin ukseni tormata ja ta välja tõugata, lootuses, et too teine teda siiski ei märganud, kuid ei suutnud häältki teha, veel vähem end liigutada.;29;30
piinlikkus:Par tundma;ilu_orlau_81;Tundsin piinlikkust;obj;Par;ei;obj;Tundsin pealtvaataja piinlikkust, kui nad eesistmel kirglikult suudlesid, teadmata, et autos on veel keegi.;3;1
jutt:Par ajama;ilu_remsu_215;ajasid juttu;obj;Par;ei;obj;Inimesed ajasid jalgrataste seljas juttu, lobisesid mobiiltelefonidega.;5;2
jutt:Par ajama;ilu_ruben_120;juttu ajama;obj;Par;ei;obj;"""Jäin Huckleberry Finniga juttu ajama,"" ütleb ta hilinemise põhjusena.";5;6
jutt:Par ajama;ilu_ruben_122;juttu ajama;obj;Par;ei;obj;"""Jäin Huckleberry Finniga juttu ajama,"" kordab poiss, arvates, et õpetaja ei saanud esimesest korrast aru.";5;6
hääl:Par tegema;ilu_ruben_136;tegi häält;obj;Par;ei;obj;"""Ahhh-hhhhaaaaaa!"" tegi majandusdirektor võidurõõmsat häält.";8;5
töö:Par tegema;ilu_ruben_55;Tööd tehtagi;obj;Par;jah;obj;Tööd ei tehtagi!;1;3
töö:Par tegema;ilu_sauter_117;tegema tööd;obj;Par;ei;obj;Kunagi ma ütlesin, et ma olen nõus tegema ükskõik mis tööd, mis ei nõua mind ennast.;12;9
töö:Par tegema;ilu_sauter_263;tööd tegid;obj;Par;ei;obj;Kui inimene tahab rikkaks saada (a miks muidu see Vargamäe Andres ja minu isa ja ema niipalju tööd tegid - ikka raha pärast, mis siis, et üks või teine mokaotsast ka jumalast või armastusest rääkis), siis ta teeb palju tööd ja loob väärtusi ja teistel on temast hea meel.;19;20
töö:Par tegema;ilu_sauter_263;teeb tööd;obj;Par;ei;obj;Kui inimene tahab rikkaks saada (a miks muidu see Vargamäe Andres ja minu isa ja ema niipalju tööd tegid - ikka raha pärast, mis siis, et üks või teine mokaotsast ka jumalast või armastusest rääkis), siis ta teeb palju tööd ja loob väärtusi ja teistel on temast hea meel.;45;43
ette_panek:obj tegema;ilu_sauter_325;ettepanekuid tegemata;obj;Par;ei;obj;Nojah, aga mul on töine kamraad, kes lahendab naisküsimust küll ja just naistele ettepanekuid eriti tegemata.;16;18
kõne:obj pidama;ilu_sauter_466;pidas kõne;obj;Gen;ei;obj;47. aastal, kui vanaema suri, olid tal küll ilmalikud matused, sest isa oli siis ENSV Ministrite Nõukogu esimehe asetäitja, aga matustel viibis vaimulikus rüüs Halliste kirikuõpetja, kes pidas kõne.;34;33
pakkumine:Par tegema;ilu_sauter_614;tegid pakkumisi;obj;Par;ei;obj;"Esialgu tegid nad mulle ka kogu aeg pakkumisi (""Are you looking for business?"") ja nad tegid seda visalt üle aasta.";8;2
nali:Par tegema;ilu_sauter_618;nalja teha;obj;Par;ei;obj;Hiljem oli tal raske selgeks teha, et ta ei taha litse mõnitada ja nende üle nalja teha.;17;18
ette_panek:obj tegema;ilu_sauter_634;tegin etteapaneku;obj;Gen;ei;obj;Niisiis teatri- ja kirjandusinimestega üheskoos napsu võttes ja elust lugusid rääkides, tegin etteapaneku, et igaüks räägiks oma isikliku loo litsimajakülastusest.;14;13
asi:Par ajama;ilu_sauter_640;asja ajama;obj;Par;ei;obj;Napsas tüdruku ja läks asja ajama.;5;6
töö:Par tegema;ilu_sauter_76;tööd teeb;obj;Par;ei;obj;Kopiraiteri ameti üle arutlemisega on nii, et kui see kellegagi jutuks tuleb, siis hakkab kopirater kohe ennast õigustama - et miks ta sellist tööd teeb.;26;27
ette_heide:Par tegema;ilu_sauter_77;teeb etteheiteid;obj;Par;ei;obj;Kas siis teine teeb talle etteheiteid või ei tee või teinekord isegi siis, kui räägivad kaks kopiraiterit omavahel.;6;4
töö:Par tegema;ilu_valton_144;tegema tööd;obj;Par;ei;obj;Head hobust, talumehe kõige suuremat varandust, sundis inimene tegema rasket tööd, kanadelt võttis ta ära nende munad, lehma laste eest jõi ta ära piima ning sarviline püüdis ikka rohkem lüpsta lootuses, et siis ehk jätkub ka vasikale midagi.;13;11
külm:Par tundma;ilu_valton_158;tundis külma;obj;Par;ei;obj;Siis tundis ta jälle külma ning teadis, kust sooja leida.;5;2
pai:obj tegema;ilu_valton_173;teeb pai;obj;Par;ei;obj;Tibule näis, et ta hellitab eriti teda, võtab pihku, teeb pai, mis üldiselt aga ei olnud meeldiv.;14;13
välk:Par lööma;ilu_valton_196;lööb välku;obj;Par;ei;obj;Vahel lööb välku, see teeb maa valgeks, aga kustub ruttu ära.;3;2
hirm:Par tundma;ilu_valton_204;tunda hirmu;obj;Par;ei;obj;Ka tema oleks tahtnud tunda mõnusat hirmu, kui isand, punane hari püsti, tuleb ähvardavalt ta poole.;7;5
järeldus:obj tegema;ilu_valton_260;teha järelduse;obj;Gen;ei;obj;Sellest võis teha järelduse, et nõrgemate äranokkimine ehk polnudki alati tark tegu.;4;3
mure:Par tegema;ilu_valton_283;teinud muret;obj;Par;ei;obj;Teiste lindudega võrreldes lendas ta halvasti, kuid noorele kanale ei teinud see suurt muret.;15;12
töö:Par tegema;ilu_valton_573;tehti töid;obj;Par;jah;obj;Enne tehti igasuguseid muid töid.;5;2
töö:Par tegema;ilu_valton_586;töö tehtud;obj;Nom;jah;obj;Tsee läks vineertahvli juurde ja veendus, et seal on juba puhas töö tehtud.;13;14
lärm:Par tegema;ilu_valton_64;tegi lärmi;obj;Par;ei;obj;Aida kõrval, ketiga kuudi küljes kinni, hüples peni ja tegi lärmi, aga teda ei saanud tibu kuidagi peremeheks pidada.;13;12
pahandus:Par tegema;ilu_valton_647;Pahandust tegi;obj;Par;ei;obj;Pahandust tegi ta vaid kogemata.;1;2
viga:obj tegema;ilu_valton_91;teinud vea;obj;Gen;ei;obj;Et nad vana kukke asjata ei kõrvaldaks, peab ta noorest selgelt üle olema ning teda nõnda kõvasti sarjama, et inimesed ta poolsurnuna leiaksid ning veenduksid, et nad on teinud vea, kui otsustasid, et vana kuke päevad on loetud.;33;32
jutt:Par ajama;ilu_vilep_156;ajasid juttu;obj;Par;ei;obj;""" Su ema helistas ja ütles, et sa ajasid läbi telefoni veidrat juttu.";14;10
asi:Par ajama;ilu_vilep_159;asjad ajada;obj;Nom;ei;obj;"""Kõht on pagana tühi!"" arvas Jan heaks kõigepealt esmased asjad korda ajada.";13;15
ette_panek:obj tegema;ilu_vilep_192;tegi ettepaneku;obj;Gen;ei;obj;"Ta toppis viimase kartuli vägisi sisse ja tegi ettepaneku: ""Hommik on õhtust targem.";9;8
suits:Par tegema;ilu_vilep_218;suitsu teha;obj;Par;ei;obj;Ta sikutas Agnesele teki peale ja läks kobamisi kööki, et suitsu teha.;12;13
nali:Par tegema;ilu_vilep_237;tegin nalja;obj;Par;ei;obj;""" Ma tegin nalja!";4;3
suits:Par tegema;ilu_vilep_250;suitsu tegemas;obj;Par;ei;obj;Käisin köögis suitsu tegemas ja panin enda järel kõik uksed kinni.;3;4
järeldus:obj tegema;ilu_vilep_266;järeldusi tegemast;obj;Par;ei;obj;Psühhiaatrit takistas järeldusi tegemast tõik, et kogu seda faktide hulka suutis Jan ilmeksimatult ülima täpsusega korrata.;3;4
huvi:Par tundma;ilu_vilep_283;tundis huvi;obj;Par;ei;obj;"""Mis saab mu tööst?"" tundis Jan huvi.";10;8
grimass:Par tegema;ilu_vilep_357;tegi grimassi;obj;Gen;ei;obj;"""Palun!"" tegi Jan anuva grimassi.";8;5
nali:Par tegema;ilu_vilep_359;teegi nalja;obj;Par;ei;obj;"""Sa ei teegi vist nalja?""";6;4
uhkus:Par tundma;ilu_vilep_392;tundes uhkust;obj;Par;ei;obj;"""Kati!"" pöördus ta mesimagusal häälel naise poole, tundes tillukest uhkust, et sai teda nimepidi kõnetada, ilma et oleks pidanud seda küsima.";14;12
lollus:Par tegema;ilu_vilep_401;teed lollusi;obj;Par;ei;obj;Elus teed veel suuremaid lollusi ja mõttetusi.;5;2
kompliment:obj tegema;ilu_vilep_416;komplimentigi teha;obj;Par;ei;obj;"""Sa ei oska inglise keeles komplimentigi teha!""";7;8
peer:Par laskma;ilu_vilep_514;laskis peeru;obj;Par;ei;obj;Isa võttis mikrofoni, pani istumise alla ja laskis täisvõimsusega salongi käraka peeru.;13;9
võimalus:obj andma;ilu_vilep_591;anti võimalusi;obj;Par;jah;obj;Kas teda karistati või anti hoopis võimalusi?;7;5
otsus:obj tegema;ilu_vilep_618;tegi otsuse;obj;Gen;ei;obj;Asjasse peab hakkama selgust tooma -- tegi ta otsuse.;9;7
tähele_panek:Par tegema;ilu_vilep_667;tegi tähelepaneku;obj;Gen;ei;obj;Jälle kollane -- tegi ta tähelepaneku, kui buss käänaku tagant välja ilmus.;6;4
järeldus:obj tegema;ilu_vilep_694;tegi järelduse;obj;Gen;ei;obj;"""Meeltepete,"" tegi ta järelduse.";7;5
hääl:Par tegema;ilu_vilep_712;tegi hääle;obj;Gen;ei;obj;"""Ma ei saa,"" tegi Jan nutuse hääle, ""mul on müür ümber.""";10;7
nali:Par tegema;ilu_vilep_73;Nalja teed;obj;Par;ei;obj;""" Nalja teed või?";2;3
kokku_võte:obj tegema;ilu_vilep_744;tegi kokkuvõtte;obj;Gen;ei;obj;"""Siga!"" tegi naine kokkuvõtte.";7;5
huvi:Par tundma;tea_AA_05_6_1126;huvi tunneb;obj;Par;ei;obj;Kes graafiteooria vastu huvi tunneb, selle jaoks võib märkida, et Sudoku lahendamine on ekvivalentne nn graafi värvimise ülesandega.;4;5
proov:Par tegema;tea_AA_05_6_1154;Tehke proovi;obj;Par;ei;obj;Tehke proovi, kas Schotti meetod töötab.;2;1
töö:Par tegema;tea_AA_05_6_620;tööd tegema;obj;Par;ei;obj;Mahtude suurenemisel tuli paratamatult seda tööd tegema hakata andmekaevandamisvahendite abil, sest spetsiaalne (sisuliselt olemasolevate vahendite) tarkvaraarendus ei oleks majanduslikult otstarbekas.;6;7
algus:Par tegema;tea_AA_05_6_643;algus tehtud;obj;Nom;jah;obj;Selle põhjal võiks arvata, et korralik algus on tehtud ning varem või hiljem rakendatakse ka vähemate kahtlustunnustega maksupetturite leidmiseks andmekaevandamist.;8;10
küsimus:Par tõstatama;tea_AA_05_6_662;tõstatatud küsimus;obj;Nom;jah;obj;Teksti kaevandamises on tõstatatud küsimus: kas on võimalik näha ka teksti sisse samamoodi, nagu me püüame avada traditsiooniliste andmetabelite sisu.;5;4
investeering:Par tegema;tea_AA_05_6_682;investeeringuid teinud;obj;Par;ei;obj;Andmekaevandamise kasutusvõimaluste uurimisel meditsiinis on suurimaid investeeringuid teinud ilmselgelt ravimifirmad, sest uute ravimite projekteerimine (drug design) on juba oma olemuselt ääretult üldiselt võetuna kombinatsioon ainetest, millele organism üht või teist moodi reageerib (uurimiseesmärgiks seega eri kombinatsioonide lahterdamine).;7;8
investeering:Par tegema;tea_dr8020_301;teha investeeringuid;obj;Par;ei;obj;Oletatakse, et kiirema majanduskasvuga kaasneb suurem ettevõtlusaktiivsus ja nii koonduvad sissetulekud enam rikkamate elanike kätte, kellel on võimalik teha investeeringuid (Chang ja Ram, 2000).;22;21
tunnistus:Par andma;tea_dr8020_4;annab tunnistust;obj;Par;ei;obj;Sellest annab tunnistust ka jõudsalt kasvanud vastava ala teadusartiklite hulk.;3;2
valik:obj tegema;tea_dr8020_97;teha valik;obj;Nom;ei;obj;Seejärel on teostatud esmane analüüs selleks, et teha valik mõnede nähtuste kirjeldamiseks kasutada olevate alternatiivsete kirjeldamisvõimaluste vahel.;10;9
järeldus:obj tegema;tea_dr8020_98;teha järeldused;obj;Nom;ei;obj;Et rahaliselt mõõdetavate näitajate puhul ei olnud võimalik üht võimalust eelistada teisele, siis on edaspidi võrdluseks kasutatud paralleelselt mõlemat varianti, et teha alles seejärel järeldused selle kohta, kumma võimaluse kasutamine on enam põhjendatud.;27;24
järeldus:obj tegema;tea_dr8047_221;järeldusi teha;obj;Par;ei;obj;Esitatud andmete puhul on raske mingeid põhjapanevaid järeldusi teha, kuna puuduvad andmed söötmise kohta, kuid võib täheldada, et looduses ehk siis vabapidamisel lindude munarebu polüküllastumata rasvhappete sisaldus on suurem kui farmilindudel.;8;9
katse:Par tegema;tea_dr8047_95;tehtud katseid;obj;Par;jah;obj;On tehtud juba ka esimesi katseid eikosapentaeenhappe mikrobioloogiliseks sünteesiks Mortirella fungi abil (Leman, 1993).;6;2
järeldus:obj tegema;tea_eesti_arst_2004_1005;teha järeldusi;obj;Par;ei;obj;Tulemi hindamine lubab teha järeldusi tervishoiusüsteemi potentsiaalselt mõjutatavate komponentide, struktuuri ja protsessi kohta.;5;4
järeldus:obj tegema;tea_eesti_arst_2004_1079;teha järeldusi;obj;Par;ei;obj;Elukvaliteet on üheks tervisetulemi klassiks, mille hindamine lubab teha järeldusi tervishoiusüsteemi struktuuri ja teenuste pakkumise protsessi kohta.;11;10
huvi:Par tundma;tea_eesti_arst_2004_1095;huvi tuntud;obj;Par;jah;obj;Selle süsteemi raviotstarbelise mõjustamise vastu on huvi tuntud mõnda aega.;7;8
võimalus:obj andma;tea_eesti_arst_2004_1188;annab võimaluse;obj;Gen;ei;obj;Sellest tulenevalt annab kõikide anti-konvulsantide kättesaadavus parema võimaluse leida iga raskesti ravimitele alluva epilepsiahaige elukvaliteedi parandamiseks just see õige, kõige efektiivsem ja vähem kõrvalnähtusid põhjustav ravim.;8;3
ette_panek:obj tegema;tea_eesti_arst_2004_1249;tegi ettepaneku;obj;Gen;ei;obj;Selleks et perearstid oma patsiente ise rohkem registreeriksid, tegi Riigikontroll sotsiaalministrile ettepaneku täiendada registreerimise korraldust, andes perearstile patsiendi vastuvõtule registreerimiseks õigusliku aluse.;13;10
ette_panek:obj tegema;tea_eesti_arst_2004_1274;tegi ettepaneku;obj;Gen;ei;obj;Riigikontroll tegi ettepaneku muuta registreerimise korraldust, võttes arvesse ka telefonitsi ja Internetis registreerijad, ent samas töötada välja meede, kuidas kontrollida saatekirja olemasolu ka juhul, kui patsient registreerimisel ise kohale ei tule (nt võimalus kontrollida seda perearsti kaudu).;3;2
koopia:obj tegema;tea_eesti_arst_2004_1364;tegema koopia;obj;Gen;ei;obj;6 Raviasutuste kohustus normide täitmisel on samasugune nagu praegu kehtivate välislepingute osas: raviasutus peab tegema vastavast vormist koopia, mille saadab Eesti Haigekassale.;19;16
võimalus:obj andma;tea_eesti_arst_2004_1457;annab võimalused;obj;Nom;ei;obj;Loodetavasti peagi teoks saav liitumine suurendab arstkonna ühtsust ning annab arstide liidule paremad võimalused kõigi tohtrite huvide eest seista.;14;10
uuring:Par tegema;tea_eesti_arst_2004_1576;tehtud uuringuid;obj;Par;jah;obj;Paljudes maades on tehtud epidemioloogilisi uuringuid, et välja selgitada erinevate unehäirete esinemissagedus.;6;4
uuring:Par tegema;tea_eesti_arst_2004_162;teha uuringud;obj;Nom;ei;obj;Väga oluline on uurida peresid enne kunstlikule viljastamisele suunamist ja teha uuringud juba varakult, et võimaldada infertiilsete perede asjakohast meditsiinigeneetilist nõustamist.;12;11
uinak:obj tegema;tea_eesti_arst_2004_1621;uinakuid teevad;obj;Par;ei;obj;Päevaseid uinakuid teevad peaaegu pooled uurituist (47,8%).;2;3
uurimis_töö:Par tegema;tea_eesti_arst_2004_1640;Uurimistöö tehtud;obj;Nom;jah;obj;Uurimistöö on tehtud Eesti Teadusfondi grandi nr 4635 ja TÜ psühhiaatriakliiniku sihtfinantseeritava teema nr 0423 toetusel.;1;3
otsus:obj tegema;tea_eesti_arst_2004_1642;teha otsuseid;obj;Par;ei;obj;Arteriaalse vererõhu väärtus muutub ajas väga kiiresti, mistõttu on oluline vererõhu korrektne mõõtmine, et teha õigeid otsuseid antihüpertensiivse ravi alustamise vajalikkuse kohta.;19;17
võimalus:obj andma;tea_eesti_arst_2004_1643;annab võimaluse;obj;Gen;ei;obj;Vererõhu pidev mitteinvasiivne registreerimine iga südametsükli kohta annab võimaluse jälgida kiireid muutusi keskmises vererõhus ja pulsisageduses.;9;8
uuring:Par tegema;tea_eesti_arst_2004_609;tehakse uuring;conj;Nom;jah;conj->obj;Hingamiselundite amüloidoosiga patsientide jälgimise ja ravi juures on oluline koht regulaarsel kontrollil ligikaudu iga 6 kuu tagant, kui lisaks kliinilistele ning organfunktsioone peegeldavatele biokeemilistele analüüsidele tehakse rindkere röntgenuuringud (koos KTga), hingamiselundite funktsionaalsed testid, füüsilise koormuse taluvuse registreerimine lihtsama standardse koormustesti abil, elektro- ja ehhokardiograafia ning bronhoskoopiline uuring (5).;53;27
tunnistus:Par andma;tea_eesti_arst_2004_631;andis tunnistust;obj;Par;ei;obj;Juhindudes visuaalselt veenvalt endobronhiaalsele pahaloomulisele uudismoodustisele sobivast bronhoskoopilisest leiust, korrati bronhoskoopiaid kasvaja histoloogiliseks tõestamiseks järgmise 2 aasta jooksul mitu korda, kuigi üldseisundi stabiilsus andis tunnistust healoomulisest protsessist.;27;26
harjutus:Par tegema;tea_eesti_arst_2004_821;Harjutust teha;obj;Par;ei;obj;Harjutust tuleks teha 2 korda päevas.;1;3
harjutus:Par tegema;tea_eesti_arst_2004_829;harjutusi teha;obj;Par;ei;obj;Kegeli harjutusi võib teha, kasutades spetsiaalset nn biofeedback-süsteemi, mille puhul paigaldatakse andur tuppe või pärakusse fikseerimaks vaagnapõhjalihaste kontraktsioone.;2;4
eel_töö:Par tegema;tea_geofyysika_116;tehti eeltöö;obj;Nom;jah;obj;Rahvusvahelise geofüüsika aasta jooksul tehti põhiline eeltöö kahe tähtsa rahvusvahelise kokkuleppe sõlmimiseks.;7;5
huvi:Par tundma;tea_geofyysika_213;tundis huvi;obj;Par;ei;obj;Sellest siis järgnebki miks astronoomia tundis kuni kõige hilisema ajani huvi ainult planeetide liikumise ja selle liikumise tausta vastu.;11;6
põhjus:Par andma;tea_geofyysika_29;annab põhjust;obj;Par;ei;obj;Vastukaaluks annab kogemus põhjust väita, et füüsikas kasutatava mõtteviisi omaksvõtnud inimesed saavad vahel üsna vaevaliselt aru looduse füüsikavälistest seostest.;4;2
tunnistus:Par andma;tea_geofyysika_577;annavad tunnistust;obj;Par;ei;obj;Suhteliselt harva toimuvatest suurema massiga kehade langemisest Maale annavad tunnistust meteoriidikraatrid.;10;9
juhis:obj andma;tea_geofyysika_89;anda juhiseid;obj;Par;ei;obj;Need on kulukad tegevused ja teaduse osaks on siin anda juhiseid kust otsida ja kus puurida, et oleks väljavaateid midagi leida.;11;10
arvutus:Par tegema;tea_toohoive_1023;arvutused tehtud;obj;Nom;jah;obj;Mõningate reservatsioonidega võib siin vaadelda Eametsa ja Rõõmu arvutusi liikumiste tõenäosuste kohta üle kogu perioodi, kuigi Raul Eametsa arvutused (joonisel 7 1989. ja 1994. a. kohta) ning Marit Rõõmu vastavad arvutused (joonisel 7 1997. a., 1998. a., 1999. a.) on tehtud mõnevõrra erinevate metoodikatega;20;48
arvutus:Par tegema;tea_toohoive_1023;arvutused tehtud;conj;Nom;jah;conj->obj;Mõningate reservatsioonidega võib siin vaadelda Eametsa ja Rõõmu arvutusi liikumiste tõenäosuste kohta üle kogu perioodi, kuigi Raul Eametsa arvutused (joonisel 7 1989. ja 1994. a. kohta) ning Marit Rõõmu vastavad arvutused (joonisel 7 1997. a., 1998. a., 1999. a.) on tehtud mõnevõrra erinevate metoodikatega;34;48
vastus:Par andma;tea_toohoive_1063;anda vastust;obj;Par;ei;obj;Küsimusele, kas aastatel 1997-2000 tuvastatud tööhõivet puudutavad seosed toimivad edasi ka järgnevatel aastatel, ei saa anda rangelt teaduslikult põhjendatud vastust.;22;18
järeldus:obj tegema;tea_toohoive_1172;teha järeldused;obj;Nom;ei;obj;Analüüsitud välismaiste analoogiate ja nende Eesti seisundiga suhtestamise baasil võib teha järgmised järeldused.;13;11
järeldus:obj tegema;tea_toohoive_297;teha järeldusi;obj;Par;ei;obj;Seda lähenemist rakendame seetõttu, et üksnes tööjõu ja kapitali tootlikkused eraldi võttes ei võimalda teha järeldusi äritegevuse tasuvuse kohta antud riigis ega prognoosida edasist makromajanduslikku dünaamikat.;17;16
järeldus:obj tegema;tea_toohoive_437;teeb järelduse;obj;Gen;ei;obj;Mickiewicz teeb järelduse, et on erinevaid ümberstruktureerumise teid ja töötuse laienemine pole selle peamine eeldus.;3;2
järeldus:obj tegema;tea_toohoive_445;teha järeldust;obj;Par;ei;obj;Asjaolust, et praegu on tegemist sisenõudluse kasvule tugineva majanduskasvuga, ja seda olukorras, kus välisturud, eriti allhanketurg on olnud suhteliselt stagneerunud olekus, võib teha kaks järeldust:;30;28
läbi_rääkimine:Par pidama;tea_toohoive_726;peavad läbirääkimisi;obj;Par;ei;obj;Viimased peavad läbirääkimisi ka selleks, et liikmetele hüvitataks elukalliduse tõus.;3;2
töö:Par tegema;tea_toohoive_769;teeb tööd;obj;Par;ei;obj;Hästi kinnimakstud inimene teeb aga reeglina ka rohkem tööd (on produktiivsem - sh kaasinimeste eest).;9;4
äri:Par tegema;tea_toohoive_804;äri teha;obj;Nom;ei;obj;Väga erineva rikkusega majandusagentidel on vähem põhjust teineteisega äri teha (nt 51% aktsionär ei vaja eriti koostööd 1% aktsionäriga - viimane võib väga kergesti sattuda olukorda, kus parim pakkumine tema aktsiatele on EEK 0).;9;10
arvutus:Par tegema;tea_toohoive_835;arvutusi tehtud;obj;Par;jah;obj;Teine võimalus probleemi lahendamiseks oleks püüda leida teisi konkurentsivõimega tihedamalt või kaudsemalt seotud näitajaid, mille alusel on Eestis juba sektoraalseid arvutusi tehtud.;22;23
